iter	Passed	Remaining
0	146	220196
1	288	215848
2	442	220974
3	633	236764
4	811	242596
5	957	238514
6	1085	231624
7	1429	266514
8	1528	253140
9	1624	242114
10	1774	240212
11	1900	235626
12	2038	233171
13	2166	229920
14	2313	229028
15	2470	229095
16	2633	229731
17	2760	227294
18	2905	226493
19	3048	225589
20	3208	225940
21	3372	226563
22	3497	224581
23	3627	223102
24	3776	222808
25	3939	223354
26	4087	222999
27	4231	222446
28	4345	220401
29	4513	221142
30	4636	219705
31	4816	220979
32	4946	219895
33	5082	219165
34	5223	218631
35	5375	218593
36	5538	219002
37	5702	219384
38	5809	217617
39	5956	217415
40	6144	218655
41	6286	218247
42	6454	218714
43	6638	219659
44	6797	219785
45	6949	219663
46	7168	221615
47	7316	221314
48	7464	221052
49	7647	221772
50	7785	221203
51	7926	220727
52	8093	220973
53	8234	220506
54	8382	220235
55	8548	220440
56	8702	220305
57	8870	220532
58	9049	221028
59	9200	220806
60	9359	220791
61	9583	222276
62	9744	222261
63	9937	222975
64	10088	222718
65	10248	222669
66	10423	222931
67	10581	222838
68	10729	222513
69	10891	222502
70	11035	222109
71	11209	222327
72	11380	222457
73	11543	222450
74	11722	222725
75	11893	222839
76	12066	222994
77	12228	222937
78	12497	224803
79	12720	225794
80	12913	226233
81	13079	226176
82	13254	226288
83	13439	226551
84	13580	226082
85	13742	225952
86	13908	225887
87	14062	225646
88	14223	225499
89	14381	225311
90	14542	225174
91	14718	225250
92	14893	225321
93	15077	225526
94	15217	225062
95	15395	225157
96	15578	225324
97	15739	225175
98	15908	225136
99	16084	225185
100	16246	225044
101	16300	223413
102	16464	223311
103	16615	223033
104	16780	222945
105	16948	222886
106	17085	222428
107	17246	222286
108	17667	225461
109	18251	230630
110	18744	234555
111	19190	237828
112	19670	241446
113	20113	244540
114	20571	247749
115	20992	250467
116	21427	253286
117	21822	255581
118	22274	258497
119	22696	261004
120	23113	263412
121	23672	267380
122	24143	270294
123	24614	273144
124	25303	278336
125	25731	280593
126	26143	282639
127	26547	284552
128	27001	286965
129	27344	288171
130	27452	286886
131	28085	291069
132	28410	292007
133	28586	291411
134	28634	289526
135	28880	289657
136	29007	288590
137	29227	288460
138	29401	287877
139	29600	287551
140	29772	286960
141	29961	286528
142	30201	286594
143	30411	286376
144	30553	285519
145	30742	285102
146	30969	285046
147	31152	284582
148	31384	284562
149	31629	284663
150	31804	284135
151	32033	284083
152	32248	283915
153	32462	283732
154	32668	283474
155	32840	282934
156	33001	282297
157	33169	281732
158	33345	281235
159	33523	280758
160	33709	280352
161	33868	279727
162	34071	279466
163	34263	279121
164	34405	278372
165	34556	277700
166	34720	277137
167	34900	276713
168	35108	276506
169	35271	275950
170	35424	275317
171	35561	274571
172	35696	273809
173	35878	273415
174	36011	272658
175	36197	272300
176	36349	271698
177	36521	271243
178	36727	271043
179	36884	270483
180	37010	269704
181	37138	268950
182	37278	268285
183	37403	267514
184	37537	266824
185	37677	266172
186	37828	265605
187	37934	264731
188	38037	263847
189	38156	263077
190	38304	262516
191	38428	261790
192	38553	261086
193	38646	260168
194	38781	259539
195	38920	258938
196	39069	258412
197	39191	257711
198	39330	257129
199	39454	256456
200	39579	255791
201	39676	254948
202	39811	254359
203	39941	253746
204	40036	252910
205	40163	252291
206	40302	251744
207	40428	251125
208	40569	250596
209	40665	249802
210	40791	249198
211	40932	248686
